name,nid,image,priceShow,voucher,ratingScore,review,location,sellerName,brandName,originalPrice,inStock,itemUrl
Điện thoại di động hoàn toàn mới oqqo Reno9 HD6.7 inch điện thoại thông minh điện thoại di động,3160704236,https://vn-live-01.slatic.net/p/b73b2ae2cd4847ad10244fbdd4db9371.jpg,300.000 ₫,Voucher giảm  50%,,,Hà Nội,điện tử kỹ thuật số 3C,SOYES,"$600,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i3160704236.html
[COD] Điện thoại di động Galaxy S23 Ultra 2024 Điện thoại thông minh 12GB + 512GB Bộ nhớ lớn Điện thoại di động Android13.0 Giá đặc biệt Điện thoại di động,2547260383,https://sg-test-11.slatic.net/p/52da965766a679a396df430e3fe19246.jpg,300.000 ₫,Voucher giảm  50%,5,1,Hà Nội,Chỉ vì 3C,SOYES,"$600,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i2547260383.html
Điện thoại di động 7.2inch Nguyên bản mới Mạng 5G điên thoại gia rẻ Hỗ trợ 2 SIM điện thoại giá học sinh Bộ nhớ 16+1TB Siêu CPU đt thông minh giá rẻ,3169490128,https://vn-live-01.slatic.net/p/55351b720f67756aecbfa0550d5de0de.jpg,300.000 ₫,Voucher giảm  50%,,,Hà Nội,Chỉ vì 3C,SOYES,"$600,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i3169490128.html
Mới S24 Ultra điện thoại di động 6.8 inch Màn hình HD 3G/4G/5G giá rẻ Android 16GB/1TB điện,3175774010,https://vn-live-01.slatic.net/p/78bd7b9eb5747cba90bc674658abb475.jpg,300.000 ₫,Voucher giảm  50%,,,Hà Nội,điện tử kỹ thuật số 3C,SOYES,"$600,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i3175774010.html
Mới S24 Ultra điện thoại di động thông minh 7.3 inch Android đt 3G/4G/5G giá rẻ 16GB/1TB HD Toàn màn hình điện thoại rẻ cho học sinh Hai SIM Với bút Đài Máy ảnh Smartphone Cảm ứng,3066911596,https://vn-live-01.slatic.net/p/be5a8572eb559e9eff14ffff01c67f4b.jpg,1.594.000 ₫,Voucher giảm  50%,,,Hà Nội,Siêu thị 3C giá rẻ,SOYES,"$3,188,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i3066911596.html
S24 Ultra 2024 Điện Thoại Di Động Mới 5G Thông Minh Android 12GB+512G 7.5inch Màn Hình Đầy Đủ Màn Hình Hd SIM+SD Hỗ Trợ Bluetooth WiFi GPS 6800mah,2655190806,https://sg-test-11.slatic.net/p/ce068594da5b074991d381e51866b9df.jpg,1.390.000 ₫,Voucher giảm  50%,5,3,Hà Nội,Trimei Zhenpin,SOYES,"$2,780,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i2655190806.html
"Điện thoại thông minh chính hãng Galaxy S23 Ultra 5G Màn hình 7,3 inch HD 16GB + 1024GB bộ nhớ lớn 6800mah điện thoại di động giá rẻ điện thoại di động học sinh sinh viên",2551766426,https://sg-test-11.slatic.net/p/554fa1664c1b647be8582d75d3af7024.jpg,1.313.620 ₫,Voucher giảm  51%,5,1,Hà Nội,Át 3C,SOYES,"$2,654,299.00 ",TRUE,https://www.lazada.vn/products/pdp-i2551766426.html
Điện thoại di động hoàn toàn mới oqqo Reno9 HD6.7 inch điện thoại thông minh điện thoại di động,3168083069,https://vn-live-01.slatic.net/p/f7ebacee7e6c580885897c230c23537d.jpg,1.080.000 ₫,Voucher giảm  32%,,,Hà Nội,Chỉ vì 3C,SOYES,"$1,580,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i3168083069.html
iPhone 16 Pro Max - Hàng Chính Hãng VN/A,2792189799,https://vn-live-01.slatic.net/p/e9f1551bb945a16d8ac43fd39e328bee.png,32.290.000 ₫,,4.969798658,1788,Hồ Chí Minh,Apple Flagship Store,Apple,"$34,999,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i2792189799.html
Samsung Galaxy A25 5g Ram 8GB bộ nhớ 128GB máy chính hãng zin đẹp 99 full chức năng,3065861567,https://vn-live-01.slatic.net/p/8bbe9979f458b2e4fa87b7969c671ed0.png,2.690.590 ₫,Voucher giảm  10%,,,Hồ Chí Minh,Di Động Khmer Sài Gòn,No Brand,"$2,990,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i3065861567.html
Điện thoại Samsung Note 10 Plus Mỹ 1 sim ram 12/256 Snap 855,2620726802,https://vn-live-01.slatic.net/p/df80e969f3c977f08321c3599fec7390.png,3.898.000 ₫,Voucher giảm  15%,,,Hồ Chí Minh,Di Động 68 HCM,Samsung,"$4,598,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i2620726802.html
2024 S24 Ultra điện thoại di động 7.3 inch Android đt 3G/4G/5G giá rẻ 8GB/256GB HD Toàn màn hình điện thoại rẻ cho học sinh Hai SIM Với bút Dấu vân tay GPS,2976371315,https://vn-live-01.slatic.net/p/33b5fc522526a4646ea5d4cedcb6afaf.jpg,1.596.000 ₫,Voucher giảm  50%,5,1,Hà Nội,điện tử kỹ thuật số 3C,SOYES,"$3,192,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i2976371315.html
Điện thoại Google Pixel 6 Nguyên Zin Ram 8Gb Chip Google Tensor,1842690492,https://vn-live-01.slatic.net/p/7ce8fcebb1b2b18a7ef79d59e028431e.jpg,4.785.000 ₫,,4.9375,16,Hồ Chí Minh,CHAT Mobile SG,Google,,TRUE,https://www.lazada.vn/products/pdp-i1842690492.html
[COD] S24 Ultra Mới Chính Hãng 5G Điện Thoại 8+128GB Thông Minh Toàn Màn Hình 6.8 Inch Full HD Dual SIM Điện Thoại Di Động Phiên Bản Toàn Cầu Điện Thoại,2785828290,https://vn-live-01.slatic.net/p/7b43028db5521ba3c4d2c8ee7802f916.jpg,1.288.770 ₫,Voucher giảm  50%,5,4,Hà Nội,Siêu thị 3C giá rẻ,SOYES,"$2,577,399.00 ",TRUE,https://www.lazada.vn/products/pdp-i2785828290.html
Điện Thoại Samsung Galaxy S20 FE 5G Chính hãng màn 120HZ  Snapdragon 865 Kèm sạc nhanh Zin | Tại Playmobile,1322570112,https://vn-live-01.slatic.net/p/577bfb502239f9fb0c203cbff632968c.jpg,3.993.990 ₫,Voucher giảm  7%,4.862385321,109,Hà Nội,PlayMobile - smartphone,Samsung,"$4,290,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i1322570112.html
Mới S24 Ultra điện thoại di động thông minh 7.3 inch Android đt 3G/4G/5G giá rẻ 16GB/1TB HD Toàn màn hình điện thoại rẻ cho học sinh Hai SIM Với bút Smartphone cảm ứng,3036324635,https://vn-live-01.slatic.net/p/ef0cd5bc4479dd24e1a1ddb1e355c819.jpg,1.588.000 ₫,Voucher giảm  50%,,,Hà Nội,Chỉ vì 3C,SOYES,"$3,176,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i3036324635.html
"Galaxy S23 Ultra điện thoại di động 7, 5 inch đầy đủ màn hình điện thoại quảng cáo ban đầu 6800mah pin lớn 16GB+512GB hỗ trợ di động SD thẻ 5G",2571656434,https://sg-test-11.slatic.net/p/427deca889d3adde50b421ddb9a8daf5.png,1.376.442 ₫,Voucher giảm  48%,,,Hà Nội,Chỉ vì 3C,SOYES,"$2,650,400.00 ",TRUE,https://www.lazada.vn/products/pdp-i2571656434.html
2025 S24 Ultra điện thoại di động thông minh 7.3 inch Android đt 3G/4G/5G giá rẻ 16GB/1TB HD Toàn màn hình điện thoại rẻ cho học sinh Hai SIM Với bút Smartphone Cảm ứng,3050644692,https://vn-live-01.slatic.net/p/c5a0d2bfe10cd23e7d41c39158aebf95.jpg,1.592.000 ₫,Voucher giảm  50%,,,Hà Nội,Siêu thị 3C giá rẻ,SOYES,"$3,184,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i3050644692.html
Oqqo Reno9 Điện thoại di động hoàn toàn mới HD6.7 inch điện thoại thông minh điện thoại di động,3178547430,https://vn-live-01.slatic.net/p/89dc96042f88fe48deb4417ad13f6d0c.jpg,1.199.000 ₫,Voucher giảm  45%,,,Hà Nội,Chỉ vì 3C,SOYES,"$2,180,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i3178547430.html
Điện thoại di động OSCAL TIGER 10 (8+8GB/256GB) - Chính hãng (Nguyên Seal Chưa Active),3070470436,https://vn-live-01.slatic.net/p/eaba96227883995d5e54c185602fd838.png,2.590.000 ₫,Voucher giảm  26%,,,Hồ Chí Minh,Hoàng Hà Mobile,OSCAL,"$3,490,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i3070470436.html
2025 S24 Ultra điện thoại di động thông minh 7.3 inch Android đt 3G/4G/5G giá rẻ 12GB/512GB HD Toàn màn hình điện thoại rẻ cho học sinh Hai SIM Với bút Smartphone cảm ứng,3037538477,https://vn-live-01.slatic.net/p/e95adfeb6acc659c9720fff22ab86e84.jpg,1.592.000 ₫,Voucher giảm  50%,5,1,Hà Nội,Át 3C,SOYES,"$3,184,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i3037538477.html
Oppo A55 Ram 4G/128GB máy zin full chức năng pin 5000 mAh tặng kèm 1 ốp lưng,2634466083,https://vn-live-01.slatic.net/p/7d82b8e793c351829ac528b8b89ed9db.jpg,1.625.320 ₫,Voucher giảm  18%,5,1,Hồ Chí Minh,Di Động Khmer Sài Gòn,OPPO,"$1,980,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i2634466083.html
Điện thoại di động hoàn toàn mới Galaxy S23 Ultra 5G 7.3 inch 7800mah 16G + 512G điện thoại thông minh siêu chip bộ nhớ mở rộng,2623335660,https://sg-test-11.slatic.net/p/b48c3e9b9aea72c05ac01249b68c3e30.jpg,1.360.608 ₫,Voucher giảm  49%,,,Hà Nội,Siêu thị 3C giá rẻ,SOYES,"$2,646,200.00 ",TRUE,https://www.lazada.vn/products/pdp-i2623335660.html
Xiaomi Poco X3 Pro Ram 8GB bộ nhớ 256GB máy đẹp zin full chức năng pin 5160 mAh,2861619006,https://vn-live-01.slatic.net/p/7bba68a381dff467d6f46c009e068ea8.jpg,2.260.920 ₫,Voucher giảm  19%,5,1,Hồ Chí Minh,Di Động Khmer Sài Gòn,No Brand,"$2,790,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i2861619006.html
Mới S24 Ultra điện thoại di động thông minh 7.3 inch Android đt 3G/4G/5G giá rẻ 16GB/1TB HD Toàn màn hình điện thoại rẻ cho học sinh Hai SIM Với bút Máy ảnh Smartphone Cảm ứng,3066840876,https://vn-live-01.slatic.net/p/29e7a28966b5d3ce3fefee6c6629f70b.jpg,1.591.000 ₫,Voucher giảm  50%,,,Hà Nội,Át 3C,SOYES,"$3,182,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i3066840876.html
Mới S24 Ultra điện thoại di động HD Toàn màn hình 7.3 inch Android đt Đài FM 3G/4G/5G giá rẻ 8GB/256GB điện thoại rẻ cho học sinh Hai SIM Với bút cảm ứng Smartphone,3135659879,https://vn-live-01.slatic.net/p/b5d5ca46692fd0f27620b744c3f02ffb.jpg,1.595.000 ₫,Voucher giảm  50%,,,Hà Nội,Chỉ vì 3C,SOYES,"$3,190,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i3135659879.html
Điện thoại di động hoàn toàn mới oqqo Reno9 HD6.7 inch điện thoại thông minh điện thoại di động,3175098656,https://vn-live-01.slatic.net/p/7c10340464a97cc33e6418f287f92253.jpg,1.340.000 ₫,Voucher giảm  50%,,,Hà Nội,điện tử kỹ thuật số 3C,SOYES,"$2,680,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i3175098656.html
NEW A55 điện thoại di động 6.8 inch Màn hình HD 3G/4G/5G giá rẻ Android đt 16GB/1TB điện thoại rẻ cho học sinh Hai SIM Smartphone Cảm ứng,3146273713,https://vn-live-01.slatic.net/p/178973b1f0848396603c4ec1ffe73bb1.png,1.198.000 ₫,Voucher giảm  50%,,,Hà Nội,Siêu thị 3C giá rẻ,SOYES,"$2,396,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i3146273713.html
"Miễn phí vận chuyển S23 Ultra Android 16GB + 1TB Màn hình điện thoại di động 7,3 inch Điện thoại di động 5G WiFi Bluetooth Nghe nhạc êm dịu và chơi game mượt mà",2597338074,https://sg-test-11.slatic.net/p/858cf467826617e73dd39162be84a41c.jpg,1.267.868 ₫,Voucher giảm  50%,,,Hà Nội,tiệm 3C,SOYES,"$2,535,736.00 ",TRUE,https://www.lazada.vn/products/pdp-i2597338074.html
"[Mới 2024] Điện Thoại Di động S24 Ultra 16GB + 1TB 7,3 Inch Giá Rẻ 4G/5G LTE Android13.0 Hỗ Trợ COD",2942612273,https://vn-live-01.slatic.net/p/7a5e7ade68cc64700626887e6290b685.jpg,1.594.000 ₫,Voucher giảm  50%,,,Hà Nội,Chỉ vì 3C,SOYES,"$3,188,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i2942612273.html
NEW S24 Ultra điện thoại di động thông minh 7.3 inch Android đt 3G/4G/5G giá rẻ 8GB/256GB HD Toàn màn hình điện thoại rẻ cho học sinh Hai SIM Với bút Dấu vân tay GPS,2974930522,https://vn-live-01.slatic.net/p/a2c37f8525f61219e02f64584673cfaa.jpg,1.598.000 ₫,Voucher giảm  50%,,0,Hà Nội,Siêu thị 3C giá rẻ,SOYES,"$3,196,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i2974930522.html
Điện thoại thông minh mới S23 Ultra 7.3 inch 16 + 1TB 6800MAH 5G Điện thoại di động Điện thoại di động Android,2535652397,https://sg-test-11.slatic.net/p/0813b8a7c122efea8bd136efa4923ccb.jpg,1.367.554 ₫,Voucher giảm  48%,5,1,Hà Nội,Chỉ vì 3C,SOYES,"$2,650,400.00 ",TRUE,https://www.lazada.vn/products/pdp-i2535652397.html
Điện thoại Samsung galaxy A71 Ram 8G bộ nhớ 128GB máy chính hãng tặng kèm ốp lưng cường lực,2531539254,https://vn-live-01.slatic.net/p/19440fc6a2db6766d937a94d6bbda5ae.jpg,1.806.920 ₫,Voucher giảm  14%,5,2,Hồ Chí Minh,Di Động Khmer Sài Gòn,No Brand,"$2,100,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i2531539254.html
Samsung galaxy M21 Ram 4G bộ nhớ 64GB Pin 6000 mAh máy chính hãng tặng kèm ốp lưng cường lực,2539513820,https://vn-live-01.slatic.net/p/348fe1b16ffef83429faab4d03d81e85.jpg,1.080.520 ₫,Voucher giảm  23%,4.333333333,3,Hồ Chí Minh,Di Động Khmer Sài Gòn,No Brand,"$1,400,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i2539513820.html
Điện thoại Samsung Galaxy M51 NFC Ram 8G/128GB Pin 7000 máy chính hãng tặng kèm 1 ốp lưng,2633759303,https://vn-live-01.slatic.net/p/2405089838e19765f8e43fc38f97f7d2.jpg,2.504.390 ₫,Voucher giảm  11%,5,2,Hồ Chí Minh,Di Động Khmer Sài Gòn,No Brand,"$2,800,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i2633759303.html
Nguyên bản mới A55 Mạng 5G điên thoại gia rẻ Hỗ trợ 2 SIM Điện thoại di động 6.8inch điện thoại giá học sinh Bộ nhớ 16+1TB S,3177219888,https://vn-live-01.slatic.net/p/55351b720f67756aecbfa0550d5de0de.jpg,1.199.000 ₫,Voucher giảm  45%,,,Hà Nội,Chỉ vì 3C,SOYES,"$2,180,000.00 ",TRUE,https://www.lazada.vn/products/pdp-i3177219888.html
