name,nid,image,priceShow,voucher,ratingScore,review,location,sellerName,brandName,originalPrice,inStock,itemUrl
Điện Thoại OPPO A58 (6GB/128GB) - Hàng Chính Hãng,2395322903,https://vn-live-01.slatic.net/p/bd3a8315c441cad9bd1fdd903585c503.jpg,4.110.000 ₫,,4.9919946631087395,4497,Hà Nội,OPPO Brand Store,OPPO,4990000,True,https://www.lazada.vn/products/pdp-i2395322903.html
"Điện thoại di động chắc chắn Oukitel WP32 Pro, RAM 24Gb(6GB + 18GB),ROM 256GB,Màn hình 6 inch HD,camera 20MP, NFC)",3186795276,https://vn-live-01.slatic.net/p/5a35d35726d5c0c66bce948036e52789.jpg,1.025.000 ₫,,,,Phú Thọ,An Huy Mobile,No Brand,,True,https://www.lazada.vn/products/pdp-i3186795276.html
"[ SALE -RẺ VÔ ĐỊCH ] Điện thoại giá rẻ Samsung Galaxy M51 2sim ram 8G/128G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp, g -máy đủ màu LNBSCK",2859462542,https://vn-live-01.slatic.net/p/2b9b8070b150f29a651ece82ea59579e.jpg,268.000 ₫,,4.575,79,Hồ Chí Minh,MYSON MOBILE,Samsung,,True,https://www.lazada.vn/products/pdp-i2859462542.html
điện thoại SS.A10s 2sim ram 3G bộ nhớ trong 32GB nguyên zin đẹp keng,3139382615,https://vn-live-01.slatic.net/p/8e51a053de362c17a98963be8200a5f3.jpg,585.692 ₫,"LazFlash Sale,kết thúc sau 7h",5.0,15,Hồ Chí Minh,Nguyên Lê Store,No Brand,1200000,True,https://www.lazada.vn/products/pdp-i3139382615.html
"điện thoại Xiaomi Redmi Note 10 2sim ram 6G/128G Chính hãng, cấu hình khủng Cân game mượt - CMS",2879921936,https://vn-live-01.slatic.net/p/f70e12540111588e284a786de00c3338.jpg,268.000 ₫,,4.52,25,Hồ Chí Minh,MYSON MOBILE,Xiaomi,,True,https://www.lazada.vn/products/pdp-i2879921936.html
Điện thoại samsung galaxy j6 plus 2018 máy cũ tân trang đẹp trên 95%,3065872797,https://vn-live-01.slatic.net/p/8d4bf8fd22df510a8e434123f8322db0.jpg,495.000 ₫,"LazFlash Sale,kết thúc sau 2 ngày",4.742268041237113,97,Hà Nội,Smartchoice 247,Samsung,1100000,True,https://www.lazada.vn/products/pdp-i3065872797.html
Samsung A01 Core androi go 11 siêu mượt hỗ trợ nhiều app giải trí,2768919232,https://filebroker-cdn.lazada.vn/kf/Saf884b7c56aa499ca216f20c6c798766O.jpg,480.000 ₫,,5.0,6,Hồ Chí Minh,Phone Cheap,Samsung,,True,https://www.lazada.vn/products/pdp-i2768919232.html
Điện thoại oppo neo5 _a31. Điện thoại gia rẻ HÀNG CHÍNH HÃNG đã qua sử dụng,2500695835,https://vn-live-01.slatic.net/p/d4c9552401491715c894b69f9a7cac21.jpg,289.999 ₫,Voucher giảm  3%,4.421052631578948,76,Hải Phòng,LPK_dienthoaigiare,OPPO,299000,True,https://www.lazada.vn/products/pdp-i2500695835.html
"[ RẺ VÔ ĐỊCH ] điện thoại 4G Samsung Galaxy Note 9 ram 6G/128G Chính Hãng,  Chiến Game mượt, Chụp ảnh siêu đẹp - BBMB",2880862317,https://vn-live-01.slatic.net/p/d07b4f0060313a59404074904ad4deff.jpg,268.000 ₫,,4.859649122807017,57,Hồ Chí Minh,MYSON MOBILE,Samsung,,True,https://www.lazada.vn/products/pdp-i2880862317.html
"[ RẺ HỦY DIỆT ] điện thoại 4G Samsung Galaxy S8 Plus ram 4G/64G Chính Hãng,Chiến Game mượt, Chụp ảnh siêu đẹp - Máy đủ màu MBMB",2881337774,https://vn-live-01.slatic.net/p/3a954e60bdd2b0a597d54f4fe86a5fa5.jpg,278.000 ₫,Voucher giảm  30%,5.0,21,Hồ Chí Minh,MYSON MOBILE,Samsung,397000,True,https://www.lazada.vn/products/pdp-i2881337774.html
